descripcion,detalle,precio
KIA NIRO EMOTION HIBRIDA 2023,2022 - 0 km,$ 123.990.000
Renault New Logan 2020,2020 - 19.000 km,$ 44.800.000
Vendo campero Chevrolet Samurai Heart Up 4 por 4,1994 - 175.000 km,$ 24.500.000
JEEP CHEROKEE 3.2,2015 - 107.000 km,$ 69.990.000
KIA PICANTO EMOTION 1.0,2020 - 10.000 km,$ 40.000.000
Vendo carro en buen estado,2015 - 77.979 km,$ 32.500.000
NISSAN TIIDA 1.8/ 2012 / MECANICO,2012 - 114.997 km,$ 24.500.000
Mazda CX30 GRAND TOURING,2021 - 0 km,$ 104.000.000
FORD ESCAPE 2.0 AUTOMÁTICO.. FULL,2021 - 11.000 km,$ 1.000.000
Nissan Sentra SL,2012 - 117.000 km,$ 35.200.000
Vendo twingo,2012 - 138.000 km,$ 19.200.000
Venta de camioneta,2013 - 0 km,$ 16.000.000
Chevrolet Sonic 2013,2013 - 59.000 km,$ 30.500.000
VENDO DUSTER 2013 AUTOMATICA,2013 - 79 km,$ 46.000.000
VENDO KIA CERATO VIVRO 2020,2020 - 43.000 km,$ 67.000.000
VENTA SUV EXCELENTE ESTADO,2015 - 81.000 km,$ 53.000.000
Mazda 2 grand touring,2016 - 51.000 km,$ 55.500.000
Venta personal por el propietario,2018 - 48.300 km,$ 49.000.000
Vendo lindo renault sandero 2016 full equipo,2016 - 65.000 km,$ 35.500.000
Volkswagen jetta 2014,2014 - 78.000 km,$ 34.800.000
"VOLKSWAGEN BEETLE, MODELO 1955",1955 - 140.000 km,$ 18.900.000
2019 CHEVROLET BEAT,2019 - 30.000 km,$ 40.500.000
PICANTO EMOTION MODELO 2023,2022 - 0 km,$ 46.150.000
Vendo o permuto mazdacx5 high,2014 - 114.000 km,$ 69.999.999
Chevrolet spart Go,2009 - 135.000 km,$ 22.000.000
Vehículo en muy buen estado,2017 - 66.900 km,$ 35.000.000
"Ford 350 modelo 1994, gas y gasolina, recien pintada, carroceria alargada ideal lara cargar caballos o aserrin.",1994 - 200 km,$ 26.500.000
Bendo carro 10 de 10,2017 - 84.000 km,$ 38.000.000
Hyundai Getz GL Negro,2009 - 149.000 km,$ 22.000.000
Renault logan 2012 Dynamique 1.6,2012 - 90.000 km,$ 25.200.000
FORD EXPLORER ELITE XLT AUTOMATICA 4X4,1999 - 321.000 km,$ 17.500.000
Vendo Duster expresion 1600,2013 - 83.100 km,$ 40.900.000
Hermosa Toyota Hilux mod 2006,2006 - 220.000 km,$ 52.000.000
Placas de cucuta,2011 - 124.000 km,$ 24.000.000
Vendo carro Mazda 323 en perfectas condiciones,1988 - 27.580 km,$ 6.500.000
"Vencambio Chevrolet Sail modelo 2017 LS cojineria en cuero, aire acondicionado, pantalla, vidrios eléctricos",2017 - 45.000 km,$ 33.500.000
Vendo hermosa camioneta 4/4 gasolina motor 2000,2007 - 102.000 km,$ 34.500.000
VENDO CHEVROLET SAIL 2016,2016 - 61.000 km,$ 32.000.000
VENDO HERMOSO RENAULT SANDERO 2018,2018 - 44.900 km,$ 35.000.000
Renault Clio 2007,2007 - 205.329 km,$ 19.000.000
